internal_id,heatName,heatDay,heatTime,dorsal,category,name1,email1,contact1,name2,email2,contact2,name,email,contact,name3,email3,contact3,name4,email4,contact4
R10012,Hybrid Doubles Women - Heat 3,2025-05-10,9:00,5127-12,Hybrid Doubles Women,Pair Athlete 12A,jose.filipe.chavarria+pair12A@gmail.com,920000012,Pair Athlete 12B,jose.filipe.chavarria+pair12B@gmail.com,920001012,,,,,,,,,
R10013,Hybrid Doubles Women - Heat 4,2025-05-13,8:30,8374-13,Hybrid Doubles Women,Pair Athlete 13A,jose.filipe.chavarria+pair13A@gmail.com,920000013,Pair Athlete 13B,jose.filipe.chavarria+pair13B@gmail.com,920001013,,,,,,,,,
R10014,Hybrid Pro Team Relay - Heat 5,2025-05-15,18:00,1113-14,Hybrid Pro Team Relay,Relay Athlete 14A,jose.filipe.chavarria+relay14A@gmail.com,930000014,Relay Athlete 14B,jose.filipe.chavarria+relay14B@gmail.com,930001014,,,,Relay Athlete 14C,jose.filipe.chavarria+relay14C@gmail.com,930002014,Relay Athlete 14D,jose.filipe.chavarria+relay14D@gmail.com,930003014
R10015,Hybrid Pro Team Relay - Heat 6,2025-05-11,9:30,8675-15,Hybrid Pro Team Relay,Relay Athlete 15A,jose.filipe.chavarria+relay15A@gmail.com,930000015,Relay Athlete 15B,jose.filipe.chavarria+relay15B@gmail.com,930001015,,,,Relay Athlete 15C,jose.filipe.chavarria+relay15C@gmail.com,930002015,Relay Athlete 15D,jose.filipe.chavarria+relay15D@gmail.com,930003015
R10016,Hybrid Pro Team Relay - Heat 7,2025-05-12,9:30,5512-16,Hybrid Pro Team Relay,Relay Athlete 16A,jose.filipe.chavarria+relay16A@gmail.com,930000016,Relay Athlete 16B,jose.filipe.chavarria+relay16B@gmail.com,930001016,,,,Relay Athlete 16C,jose.filipe.chavarria+relay16C@gmail.com,930002016,Relay Athlete 16D,jose.filipe.chavarria+relay16D@gmail.com,930003016
S10017,Hybrid Women - Heat 8,2025-05-12,18:30,3395-17,Hybrid Women,,,,,,,Name LastName Athlete 17,jose.filipe.chavarria+at17@gmail.com,910000017,,,,,,
S10018,Hybrid Women - Heat 9,2025-05-10,12:30,4147-18,Hybrid Women,,,,,,,Name LastName Athlete 18,jose.filipe.chavarria+at18@gmail.com,910000018,,,,,,
R10019,Hybrid Doubles Men - Heat 10,2025-05-13,11:00,9804-19,Hybrid Doubles Men,Pair Athlete 19A,jose.filipe.chavarria+pair19A@gmail.com,920000019,Pair Athlete 19B,jose.filipe.chavarria+pair19B@gmail.com,920001019,,,,,,,,,
S10020,Hybrid Pro Men - Heat 1,2025-05-15,9:30,6835-20,Hybrid Pro Men,,,,,,,Name LastName Athlete 20,jose.filipe.chavarria+at20@gmail.com,910000020,,,,,,
R10021,Hybrid Doubles Women - Heat 2,2025-05-14,14:00,9123-21,Hybrid Doubles Women,Pair Athlete 21A,jose.filipe.chavarria+pair21A@gmail.com,920000021,Pair Athlete 21B,jose.filipe.chavarria+pair21B@gmail.com,920001021,,,,,,,,,
R10022,Hybrid Doubles Men - Heat 3,2025-05-11,11:00,7273-22,Hybrid Doubles Men,Pair Athlete 22A,jose.filipe.chavarria+pair22A@gmail.com,920000022,Pair Athlete 22B,jose.filipe.chavarria+pair22B@gmail.com,920001022,,,,,,,,,
R10023,Hybrid Pro Doubles Women - Heat 4,2025-05-10,14:30,5136-23,Hybrid Pro Doubles Women,Pair Athlete 23A,jose.filipe.chavarria+pair23A@gmail.com,920000023,Pair Athlete 23B,jose.filipe.chavarria+pair23B@gmail.com,920001023,,,,,,,,,
R10024,Hybrid Pro Doubles Men - Heat 5,2025-05-11,18:00,5017-24,Hybrid Pro Doubles Men,Pair Athlete 24A,jose.filipe.chavarria+pair24A@gmail.com,920000024,Pair Athlete 24B,jose.filipe.chavarria+pair24B@gmail.com,920001024,,,,,,,,,
R10025,Hybrid Doubles Mixed - Heat 6,2025-05-13,14:00,1635-25,Hybrid Doubles Mixed,Pair Athlete 25A,jose.filipe.chavarria+pair25A@gmail.com,920000025,Pair Athlete 25B,jose.filipe.chavarria+pair25B@gmail.com,920001025,,,,,,,,,
S10026,Hybrid Women - Heat 7,2025-05-13,18:30,3638-26,Hybrid Women,,,,,,,Name LastName Athlete 26,jose.filipe.chavarria+at26@gmail.com,910000026,,,,,,
R10027,Hybrid Doubles Men - Heat 8,2025-05-14,18:00,9733-27,Hybrid Doubles Men,Pair Athlete 27A,jose.filipe.chavarria+pair27A@gmail.com,920000027,Pair Athlete 27B,jose.filipe.chavarria+pair27B@gmail.com,920001027,,,,,,,,,
R10028,Hybrid Team Relay - Heat 9,2025-05-13,18:30,1313-28,Hybrid Team Relay,Relay Athlete 28A,jose.filipe.chavarria+relay28A@gmail.com,930000028,Relay Athlete 28B,jose.filipe.chavarria+relay28B@gmail.com,930001028,,,,Relay Athlete 28C,jose.filipe.chavarria+relay28C@gmail.com,930002028,Relay Athlete 28D,jose.filipe.chavarria+relay28D@gmail.com,930003028
R10029,Hybrid Doubles Men - Heat 10,2025-05-13,11:30,2578-29,Hybrid Doubles Men,Pair Athlete 29A,jose.filipe.chavarria+pair29A@gmail.com,920000029,Pair Athlete 29B,jose.filipe.chavarria+pair29B@gmail.com,920001029,,,,,,,,,
S10030,Hybrid Men - Heat 1,2025-05-15,15:30,9609-30,Hybrid Men,,,,,,,Name LastName Athlete 30,jose.filipe.chavarria+at30@gmail.com,910000030,,,,,,
R10031,Hybrid Pro Doubles Women - Heat 2,2025-05-15,18:00,5570-31,Hybrid Pro Doubles Women,Pair Athlete 31A,jose.filipe.chavarria+pair31A@gmail.com,920000031,Pair Athlete 31B,jose.filipe.chavarria+pair31B@gmail.com,920001031,,,,,,,,,
R10032,Hybrid Doubles Mixed - Heat 3,2025-05-13,11:00,4904-32,Hybrid Doubles Mixed,Pair Athlete 32A,jose.filipe.chavarria+pair32A@gmail.com,920000032,Pair Athlete 32B,jose.filipe.chavarria+pair32B@gmail.com,920001032,,,,,,,,,
R10033,Hybrid Team Relay - Heat 4,2025-05-14,13:30,5130-33,Hybrid Team Relay,Relay Athlete 33A,jose.filipe.chavarria+relay33A@gmail.com,930000033,Relay Athlete 33B,jose.filipe.chavarria+relay33B@gmail.com,930001033,,,,Relay Athlete 33C,jose.filipe.chavarria+relay33C@gmail.com,930002033,Relay Athlete 33D,jose.filipe.chavarria+relay33D@gmail.com,930003033
S10034,Hybrid Pro Men - Heat 5,2025-05-14,15:00,3982-34,Hybrid Pro Men,,,,,,,Name LastName Athlete 34,jose.filipe.chavarria+at34@gmail.com,910000034,,,,,,
R10035,Hybrid Pro Doubles Mixed - Heat 6,2025-05-13,12:00,5338-35,Hybrid Pro Doubles Mixed,Pair Athlete 35A,jose.filipe.chavarria+pair35A@gmail.com,920000035,Pair Athlete 35B,jose.filipe.chavarria+pair35B@gmail.com,920001035,,,,,,,,,
S10036,Hybrid Pro Men - Heat 7,2025-05-10,14:30,4026-36,Hybrid Pro Men,,,,,,,Name LastName Athlete 36,jose.filipe.chavarria+at36@gmail.com,910000036,,,,,,
R10037,Hybrid Doubles Mixed - Heat 8,2025-05-10,13:30,3117-37,Hybrid Doubles Mixed,Pair Athlete 37A,jose.filipe.chavarria+pair37A@gmail.com,920000037,Pair Athlete 37B,jose.filipe.chavarria+pair37B@gmail.com,920001037,,,,,,,,,
S10038,Hybrid Pro Men - Heat 9,2025-05-12,8:00,6315-38,Hybrid Pro Men,,,,,,,Name LastName Athlete 38,jose.filipe.chavarria+at38@gmail.com,910000038,,,,,,
S10039,Hybrid Pro Men - Heat 10,2025-05-11,11:00,4057-39,Hybrid Pro Men,,,,,,,Name LastName Athlete 39,jose.filipe.chavarria+at39@gmail.com,910000039,,,,,,
S10040,Hybrid Pro Women - Heat 1,2025-05-11,11:30,2017-40,Hybrid Pro Women,,,,,,,Name LastName Athlete 40,jose.filipe.chavarria+at40@gmail.com,910000040,,,,,,
R10041,Hybrid Pro Doubles Mixed - Heat 2,2025-05-13,12:00,8901-41,Hybrid Pro Doubles Mixed,Pair Athlete 41A,jose.filipe.chavarria+pair41A@gmail.com,920000041,Pair Athlete 41B,jose.filipe.chavarria+pair41B@gmail.com,920001041,,,,,,,,,
R10042,Hybrid Pro Doubles Men - Heat 3,2025-05-12,12:30,2781-42,Hybrid Pro Doubles Men,Pair Athlete 42A,jose.filipe.chavarria+pair42A@gmail.com,920000042,Pair Athlete 42B,jose.filipe.chavarria+pair42B@gmail.com,920001042,,,,,,,,,
R10043,Hybrid Pro Doubles Men - Heat 4,2025-05-14,16:30,4602-43,Hybrid Pro Doubles Men,Pair Athlete 43A,jose.filipe.chavarria+pair43A@gmail.com,920000043,Pair Athlete 43B,jose.filipe.chavarria+pair43B@gmail.com,920001043,,,,,,,,,
R10044,Hybrid Pro Team Relay - Heat 5,2025-05-10,9:00,2379-44,Hybrid Pro Team Relay,Relay Athlete 44A,jose.filipe.chavarria+relay44A@gmail.com,930000044,Relay Athlete 44B,jose.filipe.chavarria+relay44B@gmail.com,930001044,,,,Relay Athlete 44C,jose.filipe.chavarria+relay44C@gmail.com,930002044,Relay Athlete 44D,jose.filipe.chavarria+relay44D@gmail.com,930003044
R10045,Hybrid Pro Team Relay - Heat 6,2025-05-11,16:30,5533-45,Hybrid Pro Team Relay,Relay Athlete 45A,jose.filipe.chavarria+relay45A@gmail.com,930000045,Relay Athlete 45B,jose.filipe.chavarria+relay45B@gmail.com,930001045,,,,Relay Athlete 45C,jose.filipe.chavarria+relay45C@gmail.com,930002045,Relay Athlete 45D,jose.filipe.chavarria+relay45D@gmail.com,930003045
S10046,Hybrid Pro Women - Heat 7,2025-05-10,11:00,3756-46,Hybrid Pro Women,,,,,,,Name LastName Athlete 46,jose.filipe.chavarria+at46@gmail.com,910000046,,,,,,
R10047,Hybrid Doubles Women - Heat 8,2025-05-15,18:00,7185-47,Hybrid Doubles Women,Pair Athlete 47A,jose.filipe.chavarria+pair47A@gmail.com,920000047,Pair Athlete 47B,jose.filipe.chavarria+pair47B@gmail.com,920001047,,,,,,,,,
S10048,Hybrid Pro Men - Heat 9,2025-05-14,8:00,8755-48,Hybrid Pro Men,,,,,,,Name LastName Athlete 48,jose.filipe.chavarria+at48@gmail.com,910000048,,,,,,
R10049,Hybrid Doubles Men - Heat 10,2025-05-11,17:30,1764-49,Hybrid Doubles Men,Pair Athlete 49A,jose.filipe.chavarria+pair49A@gmail.com,920000049,Pair Athlete 49B,jose.filipe.chavarria+pair49B@gmail.com,920001049,,,,,,,,,
S10050,Hybrid Pro Women - Heat 1,2025-05-11,15:00,9254-50,Hybrid Pro Women,,,,,,,Name LastName Athlete 50,jose.filipe.chavarria+at50@gmail.com,910000050,,,,,,
R10051,Hybrid Pro Doubles Women - Heat 2,2025-05-11,10:30,4794-51,Hybrid Pro Doubles Women,Pair Athlete 51A,jose.filipe.chavarria+pair51A@gmail.com,920000051,Pair Athlete 51B,jose.filipe.chavarria+pair51B@gmail.com,920001051,,,,,,,,,
R10052,Hybrid Pro Doubles Women - Heat 3,2025-05-15,11:30,9911-52,Hybrid Pro Doubles Women,Pair Athlete 52A,jose.filipe.chavarria+pair52A@gmail.com,920000052,Pair Athlete 52B,jose.filipe.chavarria+pair52B@gmail.com,920001052,,,,,,,,,
R10053,Hybrid Pro Doubles Men - Heat 4,2025-05-12,11:30,8760-53,Hybrid Pro Doubles Men,Pair Athlete 53A,jose.filipe.chavarria+pair53A@gmail.com,920000053,Pair Athlete 53B,jose.filipe.chavarria+pair53B@gmail.com,920001053,,,,,,,,,
S10054,Hybrid Pro Women - Heat 5,2025-05-10,12:30,5090-54,Hybrid Pro Women,,,,,,,Name LastName Athlete 54,jose.filipe.chavarria+at54@gmail.com,910000054,,,,,,
S10055,Hybrid Women - Heat 6,2025-05-11,9:30,5004-55,Hybrid Women,,,,,,,Name LastName Athlete 55,jose.filipe.chavarria+at55@gmail.com,910000055,,,,,,
R10056,Hybrid Pro Doubles Women - Heat 7,2025-05-15,9:00,8771-56,Hybrid Pro Doubles Women,Pair Athlete 56A,jose.filipe.chavarria+pair56A@gmail.com,920000056,Pair Athlete 56B,jose.filipe.chavarria+pair56B@gmail.com,920001056,,,,,,,,,
R10057,Hybrid Pro Doubles Women - Heat 8,2025-05-10,12:00,7775-57,Hybrid Pro Doubles Women,Pair Athlete 57A,jose.filipe.chavarria+pair57A@gmail.com,920000057,Pair Athlete 57B,jose.filipe.chavarria+pair57B@gmail.com,920001057,,,,,,,,,
R10058,Hybrid Team Relay - Heat 9,2025-05-14,11:30,8812-58,Hybrid Team Relay,Relay Athlete 58A,jose.filipe.chavarria+relay58A@gmail.com,930000058,Relay Athlete 58B,jose.filipe.chavarria+relay58B@gmail.com,930001058,,,,Relay Athlete 58C,jose.filipe.chavarria+relay58C@gmail.com,930002058,Relay Athlete 58D,jose.filipe.chavarria+relay58D@gmail.com,930003058
R10059,Hybrid Doubles Men - Heat 10,2025-05-11,18:00,2319-59,Hybrid Doubles Men,Pair Athlete 59A,jose.filipe.chavarria+pair59A@gmail.com,920000059,Pair Athlete 59B,jose.filipe.chavarria+pair59B@gmail.com,920001059,,,,,,,,,
R10060,Hybrid Team Relay - Heat 1,2025-05-12,18:00,7119-60,Hybrid Team Relay,Relay Athlete 60A,jose.filipe.chavarria+relay60A@gmail.com,930000060,Relay Athlete 60B,jose.filipe.chavarria+relay60B@gmail.com,930001060,,,,Relay Athlete 60C,jose.filipe.chavarria+relay60C@gmail.com,930002060,Relay Athlete 60D,jose.filipe.chavarria+relay60D@gmail.com,930003060
S10061,Hybrid Women - Heat 2,2025-05-14,17:00,8225-61,Hybrid Women,,,,,,,Name LastName Athlete 61,jose.filipe.chavarria+at61@gmail.com,910000061,,,,,,
R10062,Hybrid Pro Doubles Men - Heat 3,2025-05-11,18:00,6869-62,Hybrid Pro Doubles Men,Pair Athlete 62A,jose.filipe.chavarria+pair62A@gmail.com,920000062,Pair Athlete 62B,jose.filipe.chavarria+pair62B@gmail.com,920001062,,,,,,,,,
S10063,Hybrid Pro Men - Heat 4,2025-05-11,9:30,4787-63,Hybrid Pro Men,,,,,,,Name LastName Athlete 63,jose.filipe.chavarria+at63@gmail.com,910000063,,,,,,
R10064,Hybrid Team Relay - Heat 5,2025-05-10,13:00,5707-64,Hybrid Team Relay,Relay Athlete 64A,jose.filipe.chavarria+relay64A@gmail.com,930000064,Relay Athlete 64B,jose.filipe.chavarria+relay64B@gmail.com,930001064,,,,Relay Athlete 64C,jose.filipe.chavarria+relay64C@gmail.com,930002064,Relay Athlete 64D,jose.filipe.chavarria+relay64D@gmail.com,930003064
R10065,Hybrid Team Relay - Heat 6,2025-05-11,12:30,5515-65,Hybrid Team Relay,Relay Athlete 65A,jose.filipe.chavarria+relay65A@gmail.com,930000065,Relay Athlete 65B,jose.filipe.chavarria+relay65B@gmail.com,930001065,,,,Relay Athlete 65C,jose.filipe.chavarria+relay65C@gmail.com,930002065,Relay Athlete 65D,jose.filipe.chavarria+relay65D@gmail.com,930003065
R10066,Hybrid Pro Doubles Women - Heat 7,2025-05-10,10:30,4138-66,Hybrid Pro Doubles Women,Pair Athlete 66A,jose.filipe.chavarria+pair66A@gmail.com,920000066,Pair Athlete 66B,jose.filipe.chavarria+pair66B@gmail.com,920001066,,,,,,,,,
R10067,Hybrid Pro Doubles Mixed - Heat 8,2025-05-13,12:30,1737-67,Hybrid Pro Doubles Mixed,Pair Athlete 67A,jose.filipe.chavarria+pair67A@gmail.com,920000067,Pair Athlete 67B,jose.filipe.chavarria+pair67B@gmail.com,920001067,,,,,,,,,
R10068,Hybrid Team Relay - Heat 9,2025-05-14,17:30,6536-68,Hybrid Team Relay,Relay Athlete 68A,jose.filipe.chavarria+relay68A@gmail.com,930000068,Relay Athlete 68B,jose.filipe.chavarria+relay68B@gmail.com,930001068,,,,Relay Athlete 68C,jose.filipe.chavarria+relay68C@gmail.com,930002068,Relay Athlete 68D,jose.filipe.chavarria+relay68D@gmail.com,930003068
S10069,Hybrid Pro Women - Heat 10,2025-05-13,16:00,2674-69,Hybrid Pro Women,,,,,,,Name LastName Athlete 69,jose.filipe.chavarria+at69@gmail.com,910000069,,,,,,
R10070,Hybrid Pro Doubles Mixed - Heat 1,2025-05-10,8:30,8223-70,Hybrid Pro Doubles Mixed,Pair Athlete 70A,jose.filipe.chavarria+pair70A@gmail.com,920000070,Pair Athlete 70B,jose.filipe.chavarria+pair70B@gmail.com,920001070,,,,,,,,,
S10071,Hybrid Men - Heat 2,2025-05-11,8:00,8136-71,Hybrid Men,,,,,,,Name LastName Athlete 71,jose.filipe.chavarria+at71@gmail.com,910000071,,,,,,
R10072,Hybrid Doubles Women - Heat 3,2025-05-10,9:30,2340-72,Hybrid Doubles Women,Pair Athlete 72A,jose.filipe.chavarria+pair72A@gmail.com,920000072,Pair Athlete 72B,jose.filipe.chavarria+pair72B@gmail.com,920001072,,,,,,,,,
R10073,Hybrid Pro Doubles Men - Heat 4,2025-05-13,18:30,1216-73,Hybrid Pro Doubles Men,Pair Athlete 73A,jose.filipe.chavarria+pair73A@gmail.com,920000073,Pair Athlete 73B,jose.filipe.chavarria+pair73B@gmail.com,920001073,,,,,,,,,
R10074,Hybrid Pro Doubles Men - Heat 5,2025-05-14,8:00,1088-74,Hybrid Pro Doubles Men,Pair Athlete 74A,jose.filipe.chavarria+pair74A@gmail.com,920000074,Pair Athlete 74B,jose.filipe.chavarria+pair74B@gmail.com,920001074,,,,,,,,,
R10075,Hybrid Team Relay - Heat 6,2025-05-15,11:30,5450-75,Hybrid Team Relay,Relay Athlete 75A,jose.filipe.chavarria+relay75A@gmail.com,930000075,Relay Athlete 75B,jose.filipe.chavarria+relay75B@gmail.com,930001075,,,,Relay Athlete 75C,jose.filipe.chavarria+relay75C@gmail.com,930002075,Relay Athlete 75D,jose.filipe.chavarria+relay75D@gmail.com,930003075
R10076,Hybrid Pro Doubles Men - Heat 7,2025-05-15,17:00,5868-76,Hybrid Pro Doubles Men,Pair Athlete 76A,jose.filipe.chavarria+pair76A@gmail.com,920000076,Pair Athlete 76B,jose.filipe.chavarria+pair76B@gmail.com,920001076,,,,,,,,,
R10077,Hybrid Doubles Women - Heat 8,2025-05-14,14:00,3156-77,Hybrid Doubles Women,Pair Athlete 77A,jose.filipe.chavarria+pair77A@gmail.com,920000077,Pair Athlete 77B,jose.filipe.chavarria+pair77B@gmail.com,920001077,,,,,,,,,
S10078,Hybrid Men - Heat 9,2025-05-10,10:00,1887-78,Hybrid Men,,,,,,,Name LastName Athlete 78,jose.filipe.chavarria+at78@gmail.com,910000078,,,,,,
R10079,Hybrid Pro Doubles Men - Heat 10,2025-05-15,10:00,3762-79,Hybrid Pro Doubles Men,Pair Athlete 79A,jose.filipe.chavarria+pair79A@gmail.com,920000079,Pair Athlete 79B,jose.filipe.chavarria+pair79B@gmail.com,920001079,,,,,,,,,
R10080,Hybrid Doubles Women - Heat 1,2025-05-15,18:30,4696-80,Hybrid Doubles Women,Pair Athlete 80A,jose.filipe.chavarria+pair80A@gmail.com,920000080,Pair Athlete 80B,jose.filipe.chavarria+pair80B@gmail.com,920001080,,,,,,,,,
R10081,Hybrid Doubles Women - Heat 2,2025-05-13,8:30,3017-81,Hybrid Doubles Women,Pair Athlete 81A,jose.filipe.chavarria+pair81A@gmail.com,920000081,Pair Athlete 81B,jose.filipe.chavarria+pair81B@gmail.com,920001081,,,,,,,,,
S10082,Hybrid Men - Heat 3,2025-05-15,15:30,1635-82,Hybrid Men,,,,,,,Name LastName Athlete 82,jose.filipe.chavarria+at82@gmail.com,910000082,,,,,,
R10083,Hybrid Pro Doubles Mixed - Heat 4,2025-05-11,15:30,8201-83,Hybrid Pro Doubles Mixed,Pair Athlete 83A,jose.filipe.chavarria+pair83A@gmail.com,920000083,Pair Athlete 83B,jose.filipe.chavarria+pair83B@gmail.com,920001083,,,,,,,,,
R10084,Hybrid Pro Doubles Men - Heat 5,2025-05-12,18:30,1497-84,Hybrid Pro Doubles Men,Pair Athlete 84A,jose.filipe.chavarria+pair84A@gmail.com,920000084,Pair Athlete 84B,jose.filipe.chavarria+pair84B@gmail.com,920001084,,,,,,,,,
R10085,Hybrid Pro Doubles Mixed - Heat 6,2025-05-13,11:00,2104-85,Hybrid Pro Doubles Mixed,Pair Athlete 85A,jose.filipe.chavarria+pair85A@gmail.com,920000085,Pair Athlete 85B,jose.filipe.chavarria+pair85B@gmail.com,920001085,,,,,,,,,
R10086,Hybrid Pro Doubles Women - Heat 7,2025-05-15,14:30,9024-86,Hybrid Pro Doubles Women,Pair Athlete 86A,jose.filipe.chavarria+pair86A@gmail.com,920000086,Pair Athlete 86B,jose.filipe.chavarria+pair86B@gmail.com,920001086,,,,,,,,,
S10087,Hybrid Pro Women - Heat 8,2025-05-12,13:30,7049-87,Hybrid Pro Women,,,,,,,Name LastName Athlete 87,jose.filipe.chavarria+at87@gmail.com,910000087,,,,,,
R10088,Hybrid Pro Doubles Women - Heat 9,2025-05-12,12:30,2632-88,Hybrid Pro Doubles Women,Pair Athlete 88A,jose.filipe.chavarria+pair88A@gmail.com,920000088,Pair Athlete 88B,jose.filipe.chavarria+pair88B@gmail.com,920001088,,,,,,,,,
R10089,Hybrid Doubles Mixed - Heat 10,2025-05-13,16:00,6466-89,Hybrid Doubles Mixed,Pair Athlete 89A,jose.filipe.chavarria+pair89A@gmail.com,920000089,Pair Athlete 89B,jose.filipe.chavarria+pair89B@gmail.com,920001089,,,,,,,,,
R10090,Hybrid Pro Doubles Men - Heat 1,2025-05-15,13:30,3057-90,Hybrid Pro Doubles Men,Pair Athlete 90A,jose.filipe.chavarria+pair90A@gmail.com,920000090,Pair Athlete 90B,jose.filipe.chavarria+pair90B@gmail.com,920001090,,,,,,,,,
R10091,Hybrid Pro Team Relay - Heat 2,2025-05-10,12:30,6197-91,Hybrid Pro Team Relay,Relay Athlete 91A,jose.filipe.chavarria+relay91A@gmail.com,930000091,Relay Athlete 91B,jose.filipe.chavarria+relay91B@gmail.com,930001091,,,,Relay Athlete 91C,jose.filipe.chavarria+relay91C@gmail.com,930002091,Relay Athlete 91D,jose.filipe.chavarria+relay91D@gmail.com,930003091
R10092,Hybrid Team Relay - Heat 3,2025-05-13,15:00,8258-92,Hybrid Team Relay,Relay Athlete 92A,jose.filipe.chavarria+relay92A@gmail.com,930000092,Relay Athlete 92B,jose.filipe.chavarria+relay92B@gmail.com,930001092,,,,Relay Athlete 92C,jose.filipe.chavarria+relay92C@gmail.com,930002092,Relay Athlete 92D,jose.filipe.chavarria+relay92D@gmail.com,930003092
R10093,Hybrid Doubles Mixed - Heat 4,2025-05-13,9:30,6698-93,Hybrid Doubles Mixed,Pair Athlete 93A,jose.filipe.chavarria+pair93A@gmail.com,920000093,Pair Athlete 93B,jose.filipe.chavarria+pair93B@gmail.com,920001093,,,,,,,,,
R10094,Hybrid Pro Doubles Men - Heat 5,2025-05-15,17:00,1769-94,Hybrid Pro Doubles Men,Pair Athlete 94A,jose.filipe.chavarria+pair94A@gmail.com,920000094,Pair Athlete 94B,jose.filipe.chavarria+pair94B@gmail.com,920001094,,,,,,,,,
R10095,Hybrid Pro Doubles Mixed - Heat 6,2025-05-10,17:30,7737-95,Hybrid Pro Doubles Mixed,Pair Athlete 95A,jose.filipe.chavarria+pair95A@gmail.com,920000095,Pair Athlete 95B,jose.filipe.chavarria+pair95B@gmail.com,920001095,,,,,,,,,
S10096,Hybrid Men - Heat 7,2025-05-12,13:30,6148-96,Hybrid Men,,,,,,,Name LastName Athlete 96,jose.filipe.chavarria+at96@gmail.com,910000096,,,,,,
R10097,Hybrid Team Relay - Heat 8,2025-05-12,14:00,9175-97,Hybrid Team Relay,Relay Athlete 97A,jose.filipe.chavarria+relay97A@gmail.com,930000097,Relay Athlete 97B,jose.filipe.chavarria+relay97B@gmail.com,930001097,,,,Relay Athlete 97C,jose.filipe.chavarria+relay97C@gmail.com,930002097,Relay Athlete 97D,jose.filipe.chavarria+relay97D@gmail.com,930003097
R10098,Hybrid Pro Doubles Men - Heat 9,2025-05-11,10:00,8187-98,Hybrid Pro Doubles Men,Pair Athlete 98A,jose.filipe.chavarria+pair98A@gmail.com,920000098,Pair Athlete 98B,jose.filipe.chavarria+pair98B@gmail.com,920001098,,,,,,,,,
R10099,Hybrid Doubles Women - Heat 10,2025-05-11,9:00,5507-99,Hybrid Doubles Women,Pair Athlete 99A,jose.filipe.chavarria+pair99A@gmail.com,920000099,Pair Athlete 99B,jose.filipe.chavarria+pair99B@gmail.com,920001099,,,,,,,,,
